Movie_Id,Movie_Title,genre,CompanionContext
89,Blade Runner (1982),"Sci-Fi, Thriller",Adult 
90,So I Married an Axe Murderer (1993),"Comedy, Romance",Lover 
91,"Nightmare Before Christmas, The (1993)","Animation, Family, Fantasy, Musical",Children 
92,True Romance (1993),"Crime, Drama, Romance, Thriller",Adult 
93,Welcome to the Dollhouse (1995),"Comedy, Drama",Adult 
94,Home Alone (1990),"Comedy, Family",Adult 
95,Aladdin (1992),"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Children 
96,Terminator 2: Judgment Day (1991),"Action, Sci-Fi",Adult 
97,Dances with Wolves (1990),"Adventure, Drama, Western",Adult 
98,"Silence of the Lambs, The (1991)","Crime, Drama, Thriller",Adult 
99,Snow White and the Seven Dwarfs (1937),"Animation, Family, Fantasy, Musical, Romance",Lover 
100,Fargo (1996),"Crime, Drama, Thriller",Adult 
101,Heavy Metal (1981),"Animation, Adventure, Fantasy, Sci-Fi",Children 
102,"Aristocats, The (1970)","Animation, Adventure, Comedy, Family, Musical",Children 
103,All Dogs Go to Heaven 2 (1996),"Animation, Adventure, Family, Fantasy, Romance",Children 
104,Theodore Rex (1995),"Action, Comedy, Family",Adult 
105,Sgt. Bilko (1996),Comedy,Adult 
106,Diabolique (1996),"Drama, Horror, Mystery, Thriller",Adult 
107,Moll Flanders (1996),"Drama, Romance",Lover 
108,Kids in the Hall: Brain Candy (1996),Comedy,Adult 
109,Mystery Science Theater 3000: The Movie (1996),"Comedy, Sci-Fi",Adult 
110,Operation Dumbo Drop (1995),"Action, Adventure, Comedy, Drama, Family, War",Adult 
111,"Truth About Cats & Dogs, The (1996)","Comedy, Romance",Lover 
112,Flipper (1996),"Family, Adventure",Adult 
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","Adventure, Drama, Romance",Lover 
114,Wallace & Gromit: The Best of Aardman Animation (1996),"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Sci-Fi",Children 
115,"Haunted World of Edward D. Wood Jr., The (1995)","Documentary, Biography",Children 
116,Cold Comfort Farm (1995),"Comedy, Romance",Lover 
117,"Rock, The (1996)","Action, Adventure, Thriller",Adult 
118,Twister (1996),"Action, Adventure, Drama, Thriller",Adult 
119,Maya Lin: A Strong Clear Vision (1994),"Documentary, Biography",Children 
120,Striptease (1996),"Comedy, Crime, Drama, Thriller",Adult 
121,Independence Day (ID4) (1996),"Action, Adventure, Sci-Fi",Adult 
122,"Cable Guy, The (1996)",Comedy,Adult 
123,"Frighteners, The (1996)","Comedy, Fantasy, Horror",Adult 
124,Lone Star (1996),"Drama, Mystery",Adult 
125,Phenomenon (1996),"Drama, Fantasy, Romance, Sci-Fi",Lover 
126,"Spitfire Grill, The (1996)",Drama,Adult 
127,"Godfather, The (1972)","Adventure, Action",Adult 
128,Supercop (1992),"Action, Comedy, Crime, Thriller",Adult 
129,Bound (1996),"Crime, Romance, Thriller",Lover 
130,Kansas City (1996),"Crime, Drama, Music, Thriller",Adult 
131,Breakfast at Tiffany's (1961),"Comedy, Drama, Romance",Lover 
132,"Wizard of Oz, The (1939)","Adventure, Family, Fantasy, Musical",Adult 
133,Gone with the Wind (1939),"Drama, History, Romance, War",Lover 
134,Citizen Kane (1941),"Drama, Mystery",Adult 
135,2001: A Space Odyssey (1968),"Adventure, Sci-Fi",Adult 
136,Mr. Smith Goes to Washington (1939),"Comedy, Drama",Adult 
137,Big Night (1996),"Drama, Romance",Lover 
138,D3: The Mighty Ducks (1996),"Action, Comedy, Drama, Family, Sport",Adult 
139,"Love Bug, The (1969)",Comedy,Adult 
140,Homeward Bound: The Incredible Journey (1993),"Adventure, Comedy, Drama, Family",Adult 
141,"20,000 Leagues Under the Sea (1954)","Adventure, Drama, Family, Fantasy, Sci-Fi",Adult 
142,Bedknobs and Broomsticks (1971),"Animation, Adventure, Comedy, Family, Fantasy, Musical",Children 
143,"Sound of Music, The (1965)","Biography, Drama, Family, Musical, Romance",Lover 
144,Die Hard (1988),"Action, Thriller",Adult 
145,"Lawnmower Man, The (1992)","Horror, Sci-Fi",Adult 
146,Unhook the Stars (1996),"Drama, Romance",Lover 
147,"Long Kiss Goodnight, The (1996)","Action, Crime, Drama, Mystery, Thriller",Adult 
148,"Ghost and the Darkness, The (1996)","Adventure, Drama, Thriller",Adult 
149,Jude (1996),"Drama, Romance",Lover 
150,Swingers (1996),"Comedy, Drama",Adult 
151,Willy Wonka and the Chocolate Factory (1971),"Family, Fantasy, Musical",Adult 
152,Sleeper (1973),"Comedy, Sci-Fi",Adult 
153,"Fish Called Wanda, A (1988)","Comedy, Crime",Adult 
154,Monty Python's Life of Brian (1979),Comedy,Adult 
155,Dirty Dancing (1987),"Drama, Music, Romance",Lover 
156,Reservoir Dogs (1992),"Crime, Drama, Thriller",Adult 
157,Platoon (1986),"Drama, War",Adult 
158,Weekend at Bernie's (1989),"Adventure, Comedy, Crime",Adult 
159,Basic Instinct (1992),"Drama, Mystery, Thriller",Adult 
160,Glengarry Glen Ross (1992),"Crime, Drama, Mystery",Adult 
161,Top Gun (1986),"Action, Drama",Adult 
162,On Golden Pond (1981),Drama,Adult 
163,"Return of the Pink Panther, The (1974)","Comedy, Crime, Mystery",Adult 
164,"Abyss, The (1989)","Adventure, Drama, Sci-Fi, Thriller",Adult 
165,Jean de Florette (1986),Drama,Adult 
166,Manon of the Spring (Manon des sources) (1986),Drama,Adult 
167,Private Benjamin (1980),"Comedy, War",Adult 
168,Monty Python and the Holy Grail (1974),"Adventure, Comedy, Fantasy",Adult 
169,"Wrong Trousers, The (1993)","Animation, Short, Comedy, Crime, Family, Sci-Fi",Children 
170,Cinema Paradiso (1988),Drama,Adult 
171,Delicatessen (1991),"Comedy, Crime",Adult 
172,"Empire Strikes Back, The (1980)","Action, Adventure, Fantasy, Sci-Fi",Adult 
173,"Princess Bride, The (1987)","Adventure, Family, Fantasy, Romance",Lover 
174,Raiders of the Lost Ark (1981),"Action, Adventure",Adult 
175,Brazil (1985),"Drama, Sci-Fi",Adult 
176,Aliens (1986),"Action, Adventure, Sci-Fi, Thriller",Adult 
177,"Good, The Bad and The Ugly, The (1966)",Western,Adult 
178,12 Angry Men (1957),"Crime, Drama",Adult 
179,"Clockwork Orange, A (1971)","Crime, Drama, Sci-Fi",Adult 
180,Apocalypse Now (1979),"Drama, War",Adult 
181,Return of the Jedi (1983),"Action, Adventure, Fantasy, Sci-Fi",Adult 
182,GoodFellas (1990),"Crime, Drama",Adult 
183,Alien (1979),"Horror, Sci-Fi",Adult 
184,Army of Darkness (1993),"Comedy, Horror",Adult 
185,Psycho (1960),"Horror, Mystery, Thriller",Adult 
186,"Blues Brothers, The (1980)","Adventure, Comedy, Crime, Musical",Adult 
187,"Godfather: Part II, The (1974)","Crime, Drama",Adult 
188,Full Metal Jacket (1987),"Drama, War",Adult 
189,"Grand Day Out, A (1992)","Animation, Short, Adventure, Comedy, Family, Sci-Fi",Children 
190,Henry V (1989),"Action, Biography, Drama, History, Romance, War",Lover 
191,Amadeus (1984),"Biography, Drama, History, Music",Adult 
192,Raging Bull (1980),"Biography, Drama, Sport",Adult 
193,"Right Stuff, The (1983)","Adventure, Biography, Drama, History",Adult 
194,"Sting, The (1973)","Comedy, Crime, Drama",Adult 
195,"Terminator, The (1984)","Action, Sci-Fi",Adult 
196,Dead Poets Society (1989),"Comedy, Drama",Adult 
197,"Graduate, The (1967)","Comedy, Drama, Romance",Lover 
198,Nikita (La Femme Nikita) (1990),"Action, Thriller",Adult 
199,"Bridge on the River Kwai, The (1957)","Adventure, Drama, War",Adult 
200,"Shining, The (1980)","Drama, Horror",Adult 
201,Evil Dead II (1987),"Comedy, Horror",Adult 
202,Groundhog Day (1993),"Comedy, Fantasy, Romance",Lover 
203,Unforgiven (1992),"Drama, Western",Adult 
204,Back to the Future (1985),"Adventure, Comedy, Sci-Fi",Adult 
205,Patton (1970),"Biography, Drama, War",Adult 
206,Akira (1988),"Animation, Action, Drama, Sci-Fi, Thriller",Children 
207,Cyrano de Bergerac (1990),"Comedy, Drama, History",Adult 
208,Young Frankenstein (1974),Comedy,Adult 
209,This Is Spinal Tap (1984),"Comedy, Music",Adult 
210,Indiana Jones and the Last Crusade (1989),"Action, Adventure, Fantasy",Adult 
211,M*A*S*H (1970),"Comedy, Drama, War",Adult 
212,"Unbearable Lightness of Being, The (1988)","Drama, Romance",Lover 
213,"Room with a View, A (1986)","Drama, Romance",Lover 
214,Pink Floyd - The Wall (1982),"Animation, Drama, Fantasy, Music, Musical",Children 
215,Field of Dreams (1989),"Drama, Family, Fantasy, Sport",Adult 
216,When Harry Met Sally... (1989),"Comedy, Drama, Romance",Lover 
217,Bram Stoker's Dracula (1992),Horror,Adult 
218,Cape Fear (1991),"Crime, Thriller",Adult 
219,"Nightmare on Elm Street, A (1984)",Horror,Adult 
220,"Mirror Has Two Faces, The (1996)","Comedy, Drama, Romance",Lover 
221,Breaking the Waves (1996),Drama,Adult 
222,Star Trek: First Contact (1996),"Action, Adventure, Drama, Sci-Fi, Thriller",Adult 
223,Sling Blade (1996),Drama,Adult 
224,Ridicule (1996),"Comedy, Drama, Romance",Lover 
225,101 Dalmatians (1996),"Adventure, Comedy, Crime, Family",Adult 
226,Die Hard 2 (1990),"Action, Thriller",Adult 
227,Star Trek VI: The Undiscovered Country (1991),"Action, Adventure, Sci-Fi, Thriller",Adult 
228,Star Trek: The Wrath of Khan (1982),"Action, Adventure, Sci-Fi",Adult 
229,Star Trek III: The Search for Spock (1984),"Action, Adventure, Sci-Fi",Adult 
230,Star Trek IV: The Voyage Home (1986),"Adventure, Comedy, Sci-Fi",Adult 
231,Batman Returns (1992),"Action, Crime, Fantasy",Adult 
232,Young Guns (1988),"Action, Western",Adult 
233,Under Siege (1992),"Action, Thriller",Adult 
234,Jaws (1975),"Adventure, Drama, Thriller",Adult 
235,Mars Attacks! (1996),"Comedy, Sci-Fi",Adult 
236,Citizen Ruth (1996),"Comedy, Drama",Adult 
237,Jerry Maguire (1996),"Comedy, Drama, Romance, Sport",Lover 
238,Raising Arizona (1987),"Comedy, Crime",Adult 
239,Sneakers (1992),"Comedy, Crime, Drama, Mystery, Thriller",Adult 
240,Beavis and Butt-head Do America (1996),"Animation, Comedy, Music",Children 
241,"Last of the Mohicans, The (1992)","Action, Adventure, Drama, Romance, War",Lover 
242,Kolya (1996),"Comedy, Drama, Music",Adult 
243,Jungle2Jungle (1997),"Comedy, Family",Adult 
244,Smilla's Sense of Snow (1997),"Action, Drama, Sci-Fi, Thriller",Adult 
245,"Devil's Own, The (1997)","Action, Crime, Drama, Thriller",Adult 
246,Chasing Amy (1997),"Comedy, Drama, Romance",Lover 
247,Turbo: A Power Rangers Movie (1997),"Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",Adult 
248,Grosse Pointe Blank (1997),"Action, Comedy, Crime, Romance, Thriller",Lover 
249,Austin Powers: International Man of Mystery (1997),"Adventure, Comedy",Adult 
250,"Fifth Element, The (1997)","Action, Adventure, Sci-Fi",Adult 
251,Shall We Dance? (1996),"Comedy, Drama, Music, Romance",Lover 
252,"Lost World: Jurassic Park, The (1997)","Action, Adventure, Sci-Fi",Adult 
253,"Pillow Book, The (1995)",Drama,Adult 
254,Batman & Robin (1997),"Action, Sci-Fi",Adult 
255,My Best Friend's Wedding (1997),"Comedy, Drama, Romance",Lover 
256,When the Cats Away (Chacun cherche son chat) (1996),"Comedy, Romance",Lover 
257,Men in Black (1997),"Adventure, Comedy, Mystery, Sci-Fi",Adult 
258,Contact (1997),"Drama, Mystery, Sci-Fi, Thriller",Adult 
259,George of the Jungle (1997),"Action, Adventure, Comedy, Family, Romance",Lover 
260,Event Horizon (1997),"Horror, Sci-Fi, Thriller",Adult 
261,Air Bud (1997),"Comedy, Drama, Family, Sport",Adult 
262,In the Company of Men (1997),"Comedy, Drama",Adult 
263,Steel (1997),"Action, Crime, Sci-Fi",Adult 
264,Mimic (1997),"Horror, Sci-Fi",Adult 
265,"Hunt for Red October, The (1990)","Action, Adventure, Thriller",Adult 
266,Kull the Conqueror (1997),"Fantasy, Action, Adventure",Adult 
267,unknown,"Drama, War",Adult 
268,Chasing Amy (1997),"Comedy, Drama, Romance",Lover 
269,"Full Monty, The (1997)","Comedy, Drama",Adult 
270,Gattaca (1997),"Drama, Sci-Fi, Thriller",Adult 
271,Starship Troopers (1997),"Action, Adventure, Sci-Fi, Thriller",Adult 
272,Good Will Hunting (1997),"Drama, Romance",Lover 
273,Heat (1995),"Crime, Drama, Thriller",Adult 
274,Sabrina (1995),"Comedy, Drama",Adult 
275,Sense and Sensibility (1995),"Drama, Romance",Lover 
276,Leaving Las Vegas (1995),"Drama, Romance",Lover 
277,Restoration (1995),"Biography, Drama, History",Adult 
278,Bed of Roses (1996),"Romance, Drama",Lover 
279,Once Upon a Time... When We Were Colored (1995),"Drama, Romance",Lover 
280,Up Close and Personal (1996),"Drama, Romance",Lover 
281,"River Wild, The (1994)","Adventure, Crime, Thriller",Adult 
282,"Time to Kill, A (1996)","Crime, Drama, Thriller",Adult 
283,Emma (1996),"Comedy, Drama, Romance",Lover 
284,Tin Cup (1996),"Comedy, Drama, Romance, Sport",Lover 
285,Secrets & Lies (1996),Drama,Adult 
286,"English Patient, The (1996)","Drama, Romance, War",Lover 
287,Marvin's Room (1996),Drama,Adult 
288,Scream (1996),"Horror, Mystery",Adult 
289,Evita (1996),"Biography, Drama, History, Musical",Adult 
290,Fierce Creatures (1997),Comedy,Adult 
291,Absolute Power (1997),"Action, Crime, Drama, Thriller",Adult 
292,Rosewood (1997),"Action, Drama, History",Adult 
293,Donnie Brasco (1997),"Biography, Crime, Drama",Adult 
294,Liar Liar (1997),"Comedy, Fantasy",Adult 
295,Breakdown (1997),"Action, Crime, Drama, Mystery, Thriller",Adult 
296,"Promesse, La (1996)",Drama,Adult 
297,Ulee's Gold (1997),Drama,Adult 
298,Face/Off (1997),"Action, Crime, Sci-Fi, Thriller",Adult 
299,Hoodlum (1997),"Crime, Drama",Adult 
300,Air Force One (1997),"Action, Drama, Thriller",Adult 
301,In & Out (1997),"Comedy, Romance",Lover 
302,L.A. Confidential (1997),"Crime, Drama, Mystery, Thriller",Adult 
303,Ulee's Gold (1997),Drama,Adult 
304,Fly Away Home (1996),"Adventure, Drama, Family",Adult 
305,"Ice Storm, The (1997)",Documentary,Children 
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)","Biography, Drama, History, Romance",Lover 
307,"Devil's Advocate, The (1997)","Drama, Mystery, Thriller",Adult 
308,FairyTale: A True Story (1997),"Drama, Family, Fantasy, Mystery",Adult 
309,Deceiver (1997),"Crime, Drama, Mystery, Thriller",Adult 
310,"Rainmaker, The (1997)","Crime, Drama, Thriller",Adult 
311,"Wings of the Dove, The (1997)","Drama, Romance",Lover 
312,Midnight in the Garden of Good and Evil (1997),"Crime, Drama, Mystery, Thriller",Adult 
313,Titanic (1997),"Drama, Romance",Lover 
314,3 Ninjas: High Noon At Mega Mountain (1998),"Action, Adventure, Comedy, Family",Adult 
315,Apt Pupil (1998),"Crime, Drama, Thriller",Adult 
316,As Good As It Gets (1997),"Comedy, Drama, Romance",Lover 
317,In the Name of the Father (1993),"Biography, Drama",Adult 
318,Schindler's List (1993),"Biography, Drama, History",Adult 
319,Everyone Says I Love You (1996),"Comedy, Musical, Romance",Lover 
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),"Documentary, Crime, Drama, Mystery",Adult 
321,Mother (1996),"Drama, Romance, War",Lover 
322,Murder at 1600 (1997),"Action, Crime, Drama, Mystery, Thriller",Adult 
323,Dante's Peak (1997),"Action, Adventure, Thriller",Adult 
324,Lost Highway (1997),"Mystery, Thriller",Adult 
325,Crash (1996),Drama,Adult 
326,G.I. Jane (1997),"Action, Drama, War",Adult 
327,Cop Land (1997),"Crime, Drama, Thriller",Adult 
328,Conspiracy Theory (1997),"Action, Mystery, Thriller",Adult 
329,Desperate Measures (1998),"Action, Crime, Drama, Thriller",Adult 
330,187 (1997),"Drama, Thriller",Adult 
331,"Edge, The (1997)","Action, Adventure, Drama, Thriller",Adult 
332,Kiss the Girls (1997),"Crime, Drama, Mystery, Thriller",Adult 
333,"Game, The (1997)","Drama, Mystery, Thriller",Adult 
334,U Turn (1997),"Crime, Drama, Thriller",Adult 
335,How to Be a Player (1997),Comedy,Adult 
336,Playing God (1997),"Crime, Thriller, Drama",Adult 
337,"House of Yes, The (1997)","Comedy, Drama",Adult 
338,Bean (1997),"Adventure, Comedy, Family",Adult 
339,Mad City (1997),"Crime, Drama, Thriller",Adult 
340,Boogie Nights (1997),Drama,Adult 
341,Critical Care (1997),"Comedy, Drama",Adult 
342,"Man Who Knew Too Little, The (1997)","Action, Comedy, Crime, Thriller",Adult 
343,Alien: Resurrection (1997),"Action, Horror, Sci-Fi",Adult 
344,"Apostle, The (1997)",Drama,Adult 
345,Deconstructing Harry (1997),Comedy,Adult 
346,Jackie Brown (1997),"Crime, Drama, Thriller",Adult 
347,Wag the Dog (1997),"Comedy, Drama",Adult 
348,Desperate Measures (1998),"Action, Crime, Drama, Thriller",Adult 
349,Hard Rain (1998),"Action, Crime, Drama, Thriller",Adult 
350,Fallen (1998),"Action, Crime, Drama, Fantasy, Mystery, Thriller",Adult 
351,"Prophecy II, The (1998)","Fantasy, Horror, Thriller",Adult 
352,Spice World (1997),"Comedy, Family, Music",Adult 
353,Deep Rising (1998),"Action, Adventure, Horror, Sci-Fi",Adult 
354,"Wedding Singer, The (1998)","Comedy, Music, Romance",Lover 
355,Sphere (1998),"Drama, Horror, Mystery, Sci-Fi, Thriller",Adult 
356,"Client, The (1994)","Crime, Drama, Mystery",Adult 
357,One Flew Over the Cuckoo's Nest (1975),Drama,Adult 
358,Spawn (1997),"Action, Horror",Adult 
359,"Assignment, The (1997)","Action, Crime, Thriller",Adult 
360,Wonderland (1997),"Crime, Drama, Mystery, Thriller",Adult 
361,Incognito (1997),"Crime, Thriller",Adult 
362,Blues Brothers 2000 (1998),"Action, Comedy, Crime, Music, Musical",Adult 
363,Sudden Death (1995),"Action, Crime, Thriller",Adult 
364,Ace Ventura: When Nature Calls (1995),"Adventure, Comedy, Crime",Adult 
365,Powder (1995),"Drama, Fantasy, Mystery, Sci-Fi, Thriller",Adult 
366,Dangerous Minds (1995),"Biography, Drama",Adult 
367,Clueless (1995),"Comedy, Romance",Lover 
368,Bio-Dome (1996),Comedy,Adult 
369,Black Sheep (1996),Comedy,Adult 
370,Mary Reilly (1996),"Drama, Horror, Romance, Thriller",Lover 
371,"Bridges of Madison County, The (1995)","Drama, Romance",Lover 
372,Jeffrey (1995),"Comedy, Drama",Adult 
373,Judge Dredd (1995),"Action, Crime, Sci-Fi, Thriller",Adult 
374,Mighty Morphin Power Rangers: The Movie (1995),"Action, Adventure, Family, Sci-Fi, Thriller",Adult 
375,Showgirls (1995),Drama,Adult 
376,Houseguest (1994),Comedy,Adult 
377,Heavyweights (1994),"Comedy, Drama, Family, Sport",Adult 
378,Miracle on 34th Street (1994),"Family, Fantasy",Adult 
379,Tales From the Crypt Presents: Demon Knight (1995),"Action, Fantasy, Horror, Thriller",Adult 
380,Star Trek: Generations (1994),"Action, Adventure, Mystery, Sci-Fi, Thriller",Adult 
381,Muriel's Wedding (1994),"Comedy, Drama",Adult 
382,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy, Music",Adult 
383,"Flintstones, The (1994)","Comedy, Family, Fantasy",Adult 
384,Naked Gun 33 1/3: The Final Insult (1994),"Comedy, Crime",Adult 
385,True Lies (1994),"Action, Comedy, Thriller",Adult 
386,Addams Family Values (1993),"Comedy, Fantasy",Adult 
387,"Age of Innocence, The (1993)","Drama, Romance",Lover 
388,Beverly Hills Cop III (1994),"Action, Comedy, Crime, Thriller",Adult 
389,Black Beauty (1994),"Adventure, Drama, Family, Romance",Lover 
390,Fear of a Black Hat (1993),"Comedy, Music",Adult 
391,Last Action Hero (1993),"Action, Adventure, Comedy, Fantasy",Adult 
392,"Man Without a Face, The (1993)",Drama,Adult 
393,Mrs. Doubtfire (1993),"Comedy, Drama, Family",Adult 
394,Radioland Murders (1994),"Comedy, Crime, Drama, Musical, Mystery, Romance",Lover 
395,Robin Hood: Men in Tights (1993),"Adventure, Comedy, Musical, Romance",Lover 
396,Serial Mom (1994),"Comedy, Crime, Thriller",Adult 
397,Striking Distance (1993),"Action, Crime, Mystery, Thriller",Adult 
398,Super Mario Bros. (1993),"Adventure, Comedy, Family, Fantasy, Sci-Fi",Adult 
399,"Three Musketeers, The (1993)","Action, Adventure, Comedy, Family, Romance",Lover 
400,"Little Rascals, The (1994)","Comedy, Family, Romance",Lover 
401,"Brady Bunch Movie, The (1995)",Drama,Adult 
402,Ghost (1990),Comedy,Adult 
403,Batman (1989),"Drama, Fantasy, Romance, Thriller",Lover 
404,Pinocchio (1940),"Action, Adventure",Adult 
405,Mission: Impossible (1996),"Animation, Comedy, Family, Fantasy, Musical",Children 
406,Thinner (1996),"Action, Adventure, Thriller",Adult 
407,Spy Hard (1996),"Fantasy, Horror",Adult 
408,"Close Shave, A (1995)","Action, Comedy",Adult 
409,Jack (1996),"Comedy, Drama, Fantasy",Adult 
410,Kingpin (1996),"Comedy, Sport",Adult 
411,"Nutty Professor, The (1996)","Comedy, Romance, Sci-Fi",Lover 
412,"Very Brady Sequel, A (1996)",Comedy,Adult 
413,Tales from the Crypt Presents: Bordello of Blood (1996),"Action, Fantasy, Horror, Thriller",Adult 
414,My Favorite Year (1982),Comedy,Adult 
415,"Apple Dumpling Gang, The (1975)","Comedy, Family, Western",Adult 
416,Old Yeller (1957),"Comedy, Family, Western",Adult 
417,"Parent Trap, The (1961)","Comedy, Family, Romance",Lover 
418,Cinderella (1950),"Animation, Family, Fantasy, Musical, Romance",Lover 
419,Mary Poppins (1964),"Comedy, Family, Fantasy, Musical",Adult 
420,Alice in Wonderland (1951),"Adventure, Family, Fantasy",Adult 
421,William Shakespeare's Romeo and Juliet (1996),"Drama, Romance",Lover 
